Unnamed: 0,casenum,statenum,vehnum,day,month,year,landuse,age,bodytype,vfatcount,numoccs,modelyr,cellphone_use
71143,606,47,1,27,8,2016,2,57,4,0,2,1999,1
7907,615,12,1,7,4,2015,1,28,4,2,2,1997,0
64343,520,37,2,19,5,2016,1,86,14,1,1,2011,0
33440,1884,48,1,6,8,2015,1,30,31,0,1,2013,1
15434,554,21,1,23,10,2015,1,79,31,1,1,2008,0
70949,419,47,1,20,6,2016,1,46,20,0,1,2003,1
1868,773,4,2,21,12,2015,2,71,14,1,1,1991,0
1441,386,4,1,22,6,2015,2,17,14,0,1,1998,1
30874,584,47,1,13,9,2015,1,31,15,1,1,2007,1
42301,1460,6,1,14,8,2016,1,33,31,0,4,2015,0
47293,1228,12,4,18,3,2016,2,63,4,0,2,2007,0
35264,188,49,1,24,9,2015,1,84,14,1,4,2002,0
74246,2337,48,1,12,9,2016,1,86,31,1,1,2009,0
30562,289,47,2,20,5,2015,2,17,31,0,2,2005,1
34850,3116,48,1,15,12,2015,2,33,14,0,1,2010,1
47666,1554,12,1,15,7,2016,2,61,4,1,1,2008,0
21979,285,34,1,29,8,2015,2,18,31,0,1,2002,1
77695,243,54,1,17,12,2016,1,28,15,0,7,2005,0
66901,173,40,1,24,4,2016,1,26,4,1,1,2005,1
48249,2103,12,1,11,9,2016,2,31,4,0,1,2012,1
38207,255,1,1,22,4,2016,2,33,4,0,1,2005,0
36847,505,53,4,22,12,2015,1,88,30,0,1,1997,0
68658,667,42,1,21,9,2016,2,71,4,0,1,2016,0
46298,311,12,1,26,2,2016,2,90,4,1,1,2013,0
20383,521,29,2,5,9,2015,1,69,15,0,2,2009,0
76103,93,51,1,13,3,2016,1,22,4,1,1,2012,0
70301,916,45,1,23,11,2016,2,32,4,2,2,2009,0
39184,67,4,1,5,1,2016,1,38,31,1,3,1995,0
47457,1362,12,1,11,6,2016,2,40,31,0,1,2008,1
38839,831,1,1,12,6,2016,1,20,4,1,1,2008,1
29076,60,45,1,2,2,2015,1,20,14,1,1,2005,0
47642,1528,12,2,17,7,2016,2,51,14,0,1,2008,0
71430,871,47,3,17,11,2016,2,50,6,0,1,2013,1
33293,1755,48,1,30,7,2015,1,19,20,0,1,2000,1
12406,205,17,1,5,5,2015,1,26,4,1,3,2002,1
59751,31,29,2,27,1,2016,1,22,14,1,1,1998,1
30691,407,47,1,10,7,2015,1,17,3,1,1,2007,1
77080,218,53,5,5,2,2016,1,24,4,0,1,2011,0
59845,114,29,1,8,2,2016,2,43,16,1,1,1999,1
24319,526,37,1,7,6,2015,2,22,4,0,1,2009,1
17501,17,26,1,20,1,2015,1,36,6,2,4,2005,0
570,446,1,1,9,8,2015,2,75,4,0,1,2009,1
41776,992,6,1,29,2,2016,1,40,4,1,1,1995,0
54930,433,21,1,14,8,2016,1,47,39,1,1,1979,0
18409,789,26,1,7,11,2015,1,17,14,1,1,1999,1
3231,616,6,1,5,4,2015,2,26,4,0,1,2010,0
71548,971,47,1,4,12,2016,1,35,4,1,2,2012,1
39299,168,4,1,2,4,2016,2,46,4,0,1,2012,1
15774,137,22,2,25,3,2015,2,34,31,0,1,2013,0
70675,191,47,1,25,3,2016,1,33,20,1,1,2001,1
68813,822,42,1,8,11,2016,2,21,4,0,2,2008,1
13097,865,17,1,14,12,2015,1,28,31,1,1,2003,1
48385,2223,12,2,13,10,2016,2,16,30,0,1,2001,0
4354,1566,6,3,14,9,2015,2,86,4,0,1,1992,0
30065,898,45,1,26,12,2015,1,48,15,0,2,2013,1
30827,531,47,1,20,8,2015,2,16,31,0,1,2004,1
29860,745,45,1,24,9,2015,2,40,16,0,1,1999,0
27644,345,41,1,5,12,2015,2,24,6,1,2,2010,0
29468,410,45,1,5,7,2015,2,29,2,1,2,1986,0
26919,302,40,1,18,6,2015,2,19,4,0,1,2012,0
10875,514,13,1,29,5,2015,2,65,30,0,1,2010,0
31201,859,47,1,13,12,2015,1,19,4,1,1,2015,1
70598,127,47,1,5,3,2016,2,27,4,1,2,2015,1
47673,1560,12,2,22,7,2016,2,57,21,0,1,2007,0
11854,1318,13,1,27,12,2015,2,33,2,0,2,2007,0
24074,314,37,1,23,4,2015,1,44,31,0,1,1997,1
5591,2636,6,1,28,12,2015,1,37,21,0,1,1990,1
5501,2558,6,2,3,12,2015,2,20,14,0,1,1998,1
731,583,1,1,21,10,2015,2,40,4,1,1,2004,0
2340,343,5,1,16,9,2015,1,39,2,1,2,2011,1
43285,2298,6,1,28,6,2016,2,36,4,1,1,2001,0
14252,127,19,1,16,7,2015,1,57,4,1,1,2009,0
46870,854,12,2,28,4,2016,1,62,14,1,2,2014,0
16314,616,22,1,3,12,2015,1,45,21,1,8,2008,1
58514,993,26,1,24,8,2016,2,36,14,1,1,2002,1
25588,134,39,1,9,3,2015,2,40,4,1,3,1988,1
20317,461,29,1,15,8,2015,1,16,4,1,1,2002,1
6701,449,8,1,1,11,2015,1,33,6,1,1,2006,1
33423,1870,48,1,15,8,2015,2,16,4,0,1,2002,0
